id,song_info
30,"Latino-Cotton board  - A classic in fabric and form, the 5.6-oz 100% organic cotton brushed canvas of these board shorts provides lightweight durability in and out of the water, with a pattern inspired by plantation-era cane field workshirts. A self-fabric waistband and flat-lying 2-button fly are cleanly styled, and the flapped patch pocket with metal button closure has double-needle stitched seams. Inseam (size 32) is 10""; outseam is 20"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>A Hawaiian classic in fabric and form</li> <li>Fabric pattern inspired by plantation-era cane field workshirts</li> <li>Self-fabric waistband with a flat-lying 2-button fly</li> <li>Flapped patch pocket with metal button closure and double-needle stitched seams</li> <li>""Inseam (size 32) is 10""""; outseam is 20""""""</li> <li>Now available in size 29</li></ul><br><br><b>Fabric: </b>5.6-oz 100% organic cotton brushed canvas. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(222 g 7.7 oz)<br><br>Made in Thailand."
31,"Latino-Crosstown - Crosstown or cross-country, this fully featured commuter backpack ensures that your life stays organized whether you're office-bound, hiking the steep and narrow, or somewhere in the global commute. Inside its zippered main compartment, it features a suspended, self-adjusting padded laptop sleeve that handles a 15"" to 17"""" laptop. A secondary zippered compartment opens to a portable office organizer system. With a front catch-all sleeve (with hidden zipper) that provides easy access to documents; a stretch-woven water-bottle pocket and a fleece-lined top pocket that protects sunglasses or electronics; 3-D spacer-mesh backpack straps and back padding for comfort and breathability; an adjustable sternum strap with built-in safety whistle. Made from 150-denier all-recycled polyester double weave with a polyurethane coating and a DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>""Large, zippered main compartment has fully padded, suspended laptop sleeve and separate internal mesh organizer sleeve; second zippered compartment has office organizer pockets""</li> <li>""Front catch-all sleeve with hidden zipper provides easy-access to documents, tickets and other important materials; Side organizer pocket with detachable key chain""</li> <li>Stretch-woven water bottle pocket; fleece-lined top pocket for sunglasses or electronics</li> <li>""3-D spacer-mesh straps and back pad wick moisture, dry quickly and allow air circulation; shoulder straps have slots for clip-on attachments; adjustable sternum strap with built-in safety whistle""</li> <li>Web carrying handle</li> <li>Stowable attachment straps</li> <li>""Holds 15""""- 17"""" laptop""</li></ul><br><br><b>Fabric: </b>7.4-oz 150-denier 100% all-recycled polyester double weave. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Shoulder straps: 100% polyester 3-D spacer mesh<br><br><b>Weight: </b>(781 g 27.1 oz)<br><br>Made in Vietnam."
32,"Rock-Custodian  - long - The graveyard shift has its advantages: quitting time = dawn patrol. Our Custodian Pants are defined by their strong work ethic. They're made from a tough but comfortable 5.2-oz organic cotton canvas, with a flat front, generous wide-entry front pockets, welted back pockets, and a zip fly with button closure. Inseams (size 32): short, 30""; regular, 32""; long, 34"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight organic cotton canvas</li> <li>Zip fly with button closure</li> <li>Flat front with offset side seams</li> <li>Generous wide-entry front pockets; welted back pockets</li> <li>""Inseam is 34""""""</li></ul><br><br><b>Fabric: </b>5.2-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(450 g 15.6 oz)<br><br>Made in Thailand."
33,"Rock-Deep wading  - Whether you're chasing Olympic Peninsula chrome or reaching for stripers beyond the break, sometimes you simply have to jump in and go deep. This ultra-lightweight jacket is cut above the waist for serious wading. Its minimalist design has all you need from a waterproof/breathable fishing shell (and nothing more). In addition to a full-visibility hood, reversed StretchCoat cuffs and roomy, zippered fly box pockets, it now features fleece-lined handwarmer pockets. Made from a tough 2.5-layer ripstop nylon with a waterproof/breathable H2No barrier. Our shortest fishing jacket, the Deep Wading also has a relaxed fit to accommodate layers and a loaded vest.<br><br><b>Details:</b><ul> <li>""2.5-layer tear-resistant nylon with a Deluge DWR (durable water repellent) finish, waterproof/breathable H2No barrier and sealed seams is packable and lightweight; visibility/Houdini drawcord hood with single-pull adjustment""</li> <li>Drawcord waist with drain holes</li> <li>""External, zippered chest pockets (set high for wading and with drain holes), brushed polyester lined handwarmer pockets, hanging accessory loop inside right pocket""</li> <li>""Glued-in, coated reverse-coil main and chest pocket zippers are highly water resistant""</li> <li>Gusseted reverse StretchCoat cuffs</li> <li>Two internal mesh pockets</li> <li>""D-ring on back, hidden daisy chain above left side label""</li></ul><br><br><b>Fabric: </b>""Shell: 2.5-layer, 2.7-oz 50-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish. Cuffs: Reverse StretchCoat""<br><br><b>Weight: </b>(372 g 12.9 oz)<br><br>Made in Vietnam."
34,"Rock-Deep sell jkt - Locals know all the best spots. Our Delivery Shorts are built for all-day comfort and durability, with simple, practical style. Made from a blend of 65% all-recycled polyester and 35% organic cotton, they're designed with a nod to our local deliverymen. Features include a flat front with offset side seams and a zip fly with button closure, generous wide-entry front pockets and welted back pockets. Inseam (size 32) is 11"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Soft yet durable 6-oz 65% recycled polyester blended with 35% organic cotton</li> <li>Zip fly with button closure</li> <li>Flat front with offset side-seams</li> <li>Generous wide-entry front pockets</li> <li>Welted back pockets</li> <li>""Inseam is 11""""""</li></ul><br><br><b>Fabric: </b>6-oz 65% all-recycled polyester/35% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(314 g 10.9 oz)<br><br>Made in Vietnam."
35,"Jazz-One Hell no-Down sweater vest - Impossible to confuse with the sweater vests found at golf courses and bingo parlors, ours comes packed with ultra-toasty 800-fill down that traps heat in alpine conditions. It has a minimalist design that practically floats, and is so compact it stuffs into its own stretch-mesh internal pocket (with a carabiner clip-in loop). The innovative, superlight 100% all-recycled polyester shell (1.4-oz 22-denier) with a DWR (durable water repellent) finish provides wind and water protection as well as a high tear-strength; quilting stabilizes the down. With zippered handwarmer pockets and a drawcord hem.<br><br><b>Details:</b><ul> <li>""Superlight, windproof and water-resistant shell has high tear-strength""</li> <li>Quilted construction stabilizes premium 800-fill-power European goose down insulation</li> <li>Center-front zipper</li> <li>External pockets: two zippered handwarmers</li> <li>Interior pocket: one zippered stretch-mesh that doubles as a stuff sack with carabiner clip-in loop</li> <li>Elastic binding at armholes</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>Shell and lining: 1.4-oz 22-denier 100% all-recycled polyester with Deluge DWR (durable water repellent) finish. Insulation: 800-fill-power premium European goose down<br><br><b>Weight: </b>243 g (8.6 oz)<br><br>Made in China."
36,Rock-Dragoons - These dragoons have dropped their weapons in favor of big wave guns. Artist Geoff McFetridge's work creates a peaceful quiver on the Dragoons T-Shirt. The tee is made from 100% organic cotton fabric; PVC- and phthalate-free screen print inks are easier on the environment. The lightweight tee has ringspun yarns and taped shoulder seams for a soft hand. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA.
37,"Retro-Duck pan - long - Essential wear for splitting logs, driving nails or applying a little more chewing gum to the crack in the U-joint. Our classic do-alls come in a substantial but light and supple 8-oz organic cotton canvas. With style that is dictated by function, they have a flat front, slant side-entry front pockets and welted, button-through rear pockets. Garment-washed. Inseam (size 32) is 32"" for the regular version; 30"" for the short; 34"" for the long. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Supple organic cotton</li> <li>Classic flat-front styling</li> <li>""Slant side-entry front pockets; welted, button-through rear pockets""</li> <li>""Inseam is 34""""""</li></ul><br><br><b>Fabric: </b>8-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>532 g (18.8 oz)<br><br>Made in Thailand."
38,"Pop-Elias fz sweat- Clean as a Wingate splitter. Our Elias is made from a welcoming blend of 95% organic cotton and 5% spandex in an athletic, climbing cut. The pockets rise above your harness and the stand-up neck adds a wind barrier to warm up an early season cragging session. The full-zip front makes it easy to take on and off between laps. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ultrasoft 95% organic cotton fleece has 5% spandex for stretch</li> <li>Full-zip with handwarmer pockets</li></ul><br><br><b>Fabric: </b>7.6-oz 95% organic cotton fleece/5% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>447 g (15.8 oz)<br><br>Made in Turkey."
39,"Retro-Elias sweatshirt - The dirtbagger's complete wardrobe - wear it bouldering, working the slack line, and setting up a bivy out of view of the ranger's probing eyes. It has a hospitable mix of 95% organic cotton with 5% spandex for suppleness on dynamic moves. When clouds grow ominous, throw the 4-panel hood up to seal in your heat; keep your fingers warm and ready for crimping with the roomy kangaroo pouch pocket. Offset shoulder seams and a clean silhouette stay smooth under your packstraps and harness. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ultrasoft organic cotton fleece has 5% spandex for stretch</li> <li>Pullover hoody with kangaroo pouch pocket</li> <li>Boulder screen print on center chest by Jenny Uehisa</li></ul><br><br><b>Fabric: </b>7.6-oz 95% organic cotton fleece/5% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(426 g 14.8 oz)<br><br>Made in Turkey."
40,"Pop-zman shir - Look fresh even when you feel disheveled. Made with 65% lightweight, breathable, all-recycled polyester and 35% organic cotton plain weave, the Fezz won't wrinkle in the tightest corner of your travel duffel. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight breathable all-recycled polyester/organic cotton plain weave</li> <li>Single chest pocket</li> <li>Modest tails</li></ul><br><br><b>Fabric: </b>2.9-oz 65% all-recycled polyester/35% organic cotton plain weave. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(164 g 5.7 oz)<br><br>Made in Thailand."
